"capital","countryName","capitalName"
"https://sws.geonames.org/1138958/","Afghanistan","Kabul"
"https://sws.geonames.org/3183875/","Albania","Tirana"
"https://sws.geonames.org/2507480/","Algeria","Algiers"
"https://sws.geonames.org/5881576/","American Samoa","Pago Pago"
"https://sws.geonames.org/3041563/","Andorra","Andorra la Vella"
"https://sws.geonames.org/2240449/","Angola","Luanda"
"https://sws.geonames.org/3573374/","Anguilla","The Valley"
"https://sws.geonames.org/3576022/","Antigua and Barbuda","St John's"
"https://sws.geonames.org/3435910/","Argentina","Buenos Aires"
"https://sws.geonames.org/616052/","Armenia","Yerevan"
"https://sws.geonames.org/3577154/","Aruba","Oranjestad"
"https://sws.geonames.org/2172517/","Australia","Canberra"
"https://sws.geonames.org/2761369/","Austria","Vienna"
"https://sws.geonames.org/587084/","Azerbaijan","Baku"
"https://sws.geonames.org/3571824/","Bahamas","Nassau"
"https://sws.geonames.org/290340/","Bahrain","Manama"
"https://sws.geonames.org/1185241/","Bangladesh","Dhaka"
"https://sws.geonames.org/3374036/","Barbados","Bridgetown"
"https://sws.geonames.org/625144/","Belarus","Minsk"
"https://sws.geonames.org/2800866/","Belgium","Brussels"
"https://sws.geonames.org/3582672/","Belize","Belmopan"
"https://sws.geonames.org/2392087/","Benin","Porto-Novo"
"https://sws.geonames.org/3573197/","Bermuda","Hamilton"
"https://sws.geonames.org/1252416/","Bhutan","Thimphu"
"https://sws.geonames.org/3903987/","Bolivia","Sucre"
"https://sws.geonames.org/3513563/","Bonaire, Sint Eustatius, and Saba","Kralendijk"
"https://sws.geonames.org/3191281/","Bosnia and Herzegovina","Sarajevo"
"https://sws.geonames.org/933773/","Botswana","Gaborone"
"https://sws.geonames.org/3469058/","Brazil","Brasília"
"https://sws.geonames.org/3577430/","British Virgin Islands","Road Town"
"https://sws.geonames.org/1820906/","Brunei","Bandar Seri Begawan"
"https://sws.geonames.org/727011/","Bulgaria","Sofia"
"https://sws.geonames.org/2357048/","Burkina Faso","Ouagadougou"
"https://sws.geonames.org/426272/","Burundi","Gitega"
"https://sws.geonames.org/3374333/","Cabo Verde","Praia"
"https://sws.geonames.org/1821306/","Cambodia","Phnom Penh"
"https://sws.geonames.org/2220957/","Cameroon","Yaoundé"
"https://sws.geonames.org/6094817/","Canada","Ottawa"
"https://sws.geonames.org/3580661/","Cayman Islands","George Town"
"https://sws.geonames.org/2389853/","Central African Republic","Bangui"
"https://sws.geonames.org/2427123/","Chad","N'Djamena"
"https://sws.geonames.org/3871336/","Chile","Santiago"
"https://sws.geonames.org/1816670/","China","Beijing"
"https://sws.geonames.org/2078127/","Christmas Island","Flying Fish Cove"
"https://sws.geonames.org/7304591/","Cocos [Keeling] Islands","West Island"
"https://sws.geonames.org/3688689/","Colombia","Bogotá"
"https://sws.geonames.org/921772/","Comoros","Moroni"
"https://sws.geonames.org/2260535/","Congo Republic","Brazzaville"
"https://sws.geonames.org/4035715/","Cook Islands","Avarua"
"https://sws.geonames.org/3621849/","Costa Rica","San José"
"https://sws.geonames.org/3186886/","Croatia","Zagreb"
"https://sws.geonames.org/3553478/","Cuba","Havana"
"https://sws.geonames.org/3513090/","Curaçao","Willemstad"
"https://sws.geonames.org/146268/","Cyprus","Nicosia"
"https://sws.geonames.org/3067696/","Czechia","Prague"
"https://sws.geonames.org/2314302/","DR Congo","Kinshasa"
"https://sws.geonames.org/2618425/","Denmark","Copenhagen"
"https://sws.geonames.org/223817/","Djibouti","Djibouti"
"https://sws.geonames.org/3575635/","Dominica","Roseau"
"https://sws.geonames.org/3492908/","Dominican Republic","Santo Domingo"
"https://sws.geonames.org/3652462/","Ecuador","Quito"
"https://sws.geonames.org/360630/","Egypt","Cairo"
"https://sws.geonames.org/3583361/","El Salvador","San Salvador"
"https://sws.geonames.org/2309527/","Equatorial Guinea","Malabo"
"https://sws.geonames.org/343300/","Eritrea","Asmara"
"https://sws.geonames.org/588409/","Estonia","Tallinn"
"https://sws.geonames.org/934985/","Eswatini","Mbabane"
"https://sws.geonames.org/344979/","Ethiopia","Addis Ababa"
"https://sws.geonames.org/3426691/","Falkland Islands","Stanley"
"https://sws.geonames.org/2611396/","Faroe Islands","Tórshavn"
"https://sws.geonames.org/2198148/","Fiji","Suva"
"https://sws.geonames.org/658225/","Finland","Helsinki"
"https://sws.geonames.org/2988507/","France","Paris"
"https://sws.geonames.org/3382160/","French Guiana","Cayenne"
"https://sws.geonames.org/4033936/","French Polynesia","Papeete"
"https://sws.geonames.org/1546102/","French Southern Territories","Port-aux-Français"
"https://sws.geonames.org/2399697/","Gabon","Libreville"
"https://sws.geonames.org/2413876/","Gambia","Banjul"
"https://sws.geonames.org/611717/","Georgia","Tbilisi"
"https://sws.geonames.org/2950159/","Germany","Berlin"
"https://sws.geonames.org/2306104/","Ghana","Accra"
"https://sws.geonames.org/2411585/","Gibraltar","Gibraltar"
"https://sws.geonames.org/264371/","Greece","Athens"
"https://sws.geonames.org/3421319/","Greenland","Nuuk"
"https://sws.geonames.org/3579925/","Grenada","St. George's"
"https://sws.geonames.org/3579732/","Guadeloupe","Basse-Terre"
"https://sws.geonames.org/4044012/","Guam","Hagåtña"
"https://sws.geonames.org/3598132/","Guatemala","Guatemala City"
"https://sws.geonames.org/3042287/","Guernsey","St Peter Port"
"https://sws.geonames.org/2422465/","Guinea","Conakry"
"https://sws.geonames.org/2374775/","Guinea-Bissau","Bissau"
"https://sws.geonames.org/3378644/","Guyana","Georgetown"
"https://sws.geonames.org/3718426/","Haiti","Port-au-Prince"
"https://sws.geonames.org/3600949/","Honduras","Tegucigalpa"
"https://sws.geonames.org/1819729/","Hong Kong","Hong Kong"
"https://sws.geonames.org/3054643/","Hungary","Budapest"
"https://sws.geonames.org/3413829/","Iceland","Reykjavik"
"https://sws.geonames.org/1261481/","India","New Delhi"
"https://sws.geonames.org/1642911/","Indonesia","Jakarta"
"https://sws.geonames.org/112931/","Iran","Tehran"
"https://sws.geonames.org/98182/","Iraq","Baghdad"
"https://sws.geonames.org/2964574/","Ireland","Dublin"
"https://sws.geonames.org/3042237/","Isle of Man","Douglas"
"https://sws.geonames.org/3169070/","Italy","Rome"
"https://sws.geonames.org/2279755/","Ivory Coast","Yamoussoukro"
"https://sws.geonames.org/3489854/","Jamaica","Kingston"
"https://sws.geonames.org/1850147/","Japan","Tokyo"
"https://sws.geonames.org/3042091/","Jersey","Saint Helier"
"https://sws.geonames.org/250441/","Jordan","Amman"
"https://sws.geonames.org/1526273/","Kazakhstan","Nur-Sultan"
"https://sws.geonames.org/184745/","Kenya","Nairobi"
"https://sws.geonames.org/2110257/","Kiribati","Tarawa"
"https://sws.geonames.org/786714/","Kosovo","Pristina"
"https://sws.geonames.org/285787/","Kuwait","Kuwait City"
"https://sws.geonames.org/1528675/","Kyrgyzstan","Bishkek"
"https://sws.geonames.org/1651944/","Laos","Vientiane"
"https://sws.geonames.org/456172/","Latvia","Riga"
"https://sws.geonames.org/276781/","Lebanon","Beirut"
"https://sws.geonames.org/932505/","Lesotho","Maseru"
"https://sws.geonames.org/2274895/","Liberia","Monrovia"
"https://sws.geonames.org/2210247/","Libya","Tripoli"
"https://sws.geonames.org/3042030/","Liechtenstein","Vaduz"
"https://sws.geonames.org/593116/","Lithuania","Vilnius"
"https://sws.geonames.org/2960316/","Luxembourg","Luxembourg"
"https://sws.geonames.org/1821274/","Macao","Macao"
"https://sws.geonames.org/1070940/","Madagascar","Antananarivo"
"https://sws.geonames.org/927967/","Malawi","Lilongwe"
"https://sws.geonames.org/1735161/","Malaysia","Kuala Lumpur"
"https://sws.geonames.org/1282027/","Maldives","Malé"
"https://sws.geonames.org/2460596/","Mali","Bamako"
"https://sws.geonames.org/2562305/","Malta","Valletta"
"https://sws.geonames.org/2113779/","Marshall Islands","Majuro"
"https://sws.geonames.org/3570675/","Martinique","Fort-de-France"
"https://sws.geonames.org/2377450/","Mauritania","Nouakchott"
"https://sws.geonames.org/934154/","Mauritius","Port Louis"
"https://sws.geonames.org/921815/","Mayotte","Mamoudzou"
"https://sws.geonames.org/3530597/","Mexico","Mexico City"
"https://sws.geonames.org/2081986/","Micronesia","Palikir"
"https://sws.geonames.org/618426/","Moldova","Chisinau"
"https://sws.geonames.org/2993458/","Monaco","Monaco"
"https://sws.geonames.org/2028462/","Mongolia","Ulaanbaatar"
"https://sws.geonames.org/3193044/","Montenegro","Podgorica"
"https://sws.geonames.org/3578069/","Montserrat","Plymouth"
"https://sws.geonames.org/2538475/","Morocco","Rabat"
"https://sws.geonames.org/1040652/","Mozambique","Maputo"
"https://sws.geonames.org/6611854/","Myanmar","Nay Pyi Taw"
"https://sws.geonames.org/3352136/","Namibia","Windhoek"
"https://sws.geonames.org/7626461/","Nauru","Yaren District"
"https://sws.geonames.org/1283240/","Nepal","Kathmandu"
"https://sws.geonames.org/2759794/","Netherlands","Amsterdam"
"https://sws.geonames.org/2139521/","New Caledonia","Noumea"
"https://sws.geonames.org/2179537/","New Zealand","Wellington"
"https://sws.geonames.org/3617763/","Nicaragua","Managua"
"https://sws.geonames.org/2440485/","Niger","Niamey"
"https://sws.geonames.org/2352778/","Nigeria","Abuja"
"https://sws.geonames.org/4036284/","Niue","Alofi"
"https://sws.geonames.org/2161314/","Norfolk Island","Kingston"
"https://sws.geonames.org/1871859/","North Korea","Pyongyang"
"https://sws.geonames.org/785842/","North Macedonia","Skopje"
"https://sws.geonames.org/7828758/","Northern Mariana Islands","Saipan"
"https://sws.geonames.org/3143244/","Norway","Oslo"
"https://sws.geonames.org/287286/","Oman","Muscat"
"https://sws.geonames.org/1176615/","Pakistan","Islamabad"
"https://sws.geonames.org/8063361/","Palau","Ngerulmud"
"https://sws.geonames.org/3703443/","Panama","Panama City"
"https://sws.geonames.org/2088122/","Papua New Guinea","Port Moresby"
"https://sws.geonames.org/3439389/","Paraguay","Asunción"
"https://sws.geonames.org/3936456/","Peru","Lima"
"https://sws.geonames.org/1701668/","Philippines","Manila"
"https://sws.geonames.org/4030723/","Pitcairn Islands","Adamstown"
"https://sws.geonames.org/756135/","Poland","Warsaw"
"https://sws.geonames.org/2267057/","Portugal","Lisbon"
"https://sws.geonames.org/4568127/","Puerto Rico","San Juan"
"https://sws.geonames.org/290030/","Qatar","Doha"
"https://sws.geonames.org/683506/","Romania","Bucharest"
"https://sws.geonames.org/524901/","Russia","Moscow"
"https://sws.geonames.org/202061/","Rwanda","Kigali"
"https://sws.geonames.org/935264/","Réunion","Saint-Denis"
"https://sws.geonames.org/3579132/","Saint Barthélemy","Gustavia"
"https://sws.geonames.org/3370903/","Saint Helena","Jamestown"
"https://sws.geonames.org/3576812/","Saint Lucia","Castries"
"https://sws.geonames.org/3578851/","Saint Martin","Marigot"
"https://sws.geonames.org/3424934/","Saint Pierre and Miquelon","Saint-Pierre"
"https://sws.geonames.org/4035413/","Samoa","Apia"
"https://sws.geonames.org/3168070/","San Marino","City of San Marino"
"https://sws.geonames.org/108410/","Saudi Arabia","Riyadh"
"https://sws.geonames.org/2253354/","Senegal","Dakar"
"https://sws.geonames.org/792680/","Serbia","Belgrade"
"https://sws.geonames.org/241131/","Seychelles","Victoria"
"https://sws.geonames.org/2409306/","Sierra Leone","Freetown"
"https://sws.geonames.org/1880252/","Singapore","Singapore"
"https://sws.geonames.org/3513392/","Sint Maarten","Philipsburg"
"https://sws.geonames.org/3060972/","Slovakia","Bratislava"
"https://sws.geonames.org/3196359/","Slovenia","Ljubljana"
"https://sws.geonames.org/2108502/","Solomon Islands","Honiara"
"https://sws.geonames.org/53654/","Somalia","Mogadishu"
"https://sws.geonames.org/964137/","South Africa","Pretoria"
"https://sws.geonames.org/3426466/","South Georgia and South Sandwich Islands","Grytviken"
"https://sws.geonames.org/1835848/","South Korea","Seoul"
"https://sws.geonames.org/373303/","South Sudan","Juba"
"https://sws.geonames.org/3117735/","Spain","Madrid"
"https://sws.geonames.org/1248991/","Sri Lanka","Colombo"
"https://sws.geonames.org/3575551/","St Kitts and Nevis","Basseterre"
"https://sws.geonames.org/3577887/","St Vincent and Grenadines","Kingstown"
"https://sws.geonames.org/379252/","Sudan","Khartoum"
"https://sws.geonames.org/3383330/","Suriname","Paramaribo"
"https://sws.geonames.org/2729907/","Svalbard and Jan Mayen","Longyearbyen"
"https://sws.geonames.org/2673730/","Sweden","Stockholm"
"https://sws.geonames.org/2661552/","Switzerland","Bern"
"https://sws.geonames.org/170654/","Syria","Damascus"
"https://sws.geonames.org/2410763/","São Tomé and Príncipe","São Tomé"
"https://sws.geonames.org/1668341/","Taiwan","Taipei"
"https://sws.geonames.org/1221874/","Tajikistan","Dushanbe"
"https://sws.geonames.org/160196/","Tanzania","Dodoma"
"https://sws.geonames.org/1609350/","Thailand","Bangkok"
"https://sws.geonames.org/1645457/","Timor-Leste","Dili"
"https://sws.geonames.org/2365267/","Togo","Lomé"
"https://sws.geonames.org/4032402/","Tonga","Nuku'alofa"
"https://sws.geonames.org/3573890/","Trinidad and Tobago","Port of Spain"
"https://sws.geonames.org/2464470/","Tunisia","Tunis"
"https://sws.geonames.org/323786/","Turkey","Ankara"
"https://sws.geonames.org/162183/","Turkmenistan","Ashgabat"
"https://sws.geonames.org/3576994/","Turks and Caicos Islands","Cockburn Town"
"https://sws.geonames.org/2110394/","Tuvalu","Funafuti"
"https://sws.geonames.org/4795467/","U.S. Virgin Islands","Charlotte Amalie"
"https://sws.geonames.org/232422/","Uganda","Kampala"
"https://sws.geonames.org/703448/","Ukraine","Kyiv"
"https://sws.geonames.org/292968/","United Arab Emirates","Abu Dhabi"
"https://sws.geonames.org/2643743/","United Kingdom","London"
"https://sws.geonames.org/4140963/","United States","Washington"
"https://sws.geonames.org/3441575/","Uruguay","Montevideo"
"https://sws.geonames.org/1512569/","Uzbekistan","Tashkent"
"https://sws.geonames.org/2135171/","Vanuatu","Port Vila"
"https://sws.geonames.org/6691831/","Vatican City","Vatican City"
"https://sws.geonames.org/3646738/","Venezuela","Caracas"
"https://sws.geonames.org/1581130/","Vietnam","Hanoi"
"https://sws.geonames.org/4034821/","Wallis and Futuna","Mata-Utu"
"https://sws.geonames.org/71137/","Yemen","Sanaa"
"https://sws.geonames.org/909137/","Zambia","Lusaka"
"https://sws.geonames.org/890299/","Zimbabwe","Harare"
"https://sws.geonames.org/3041732/","Åland","Mariehamn"
